user_id,age,monthly_income,occupation,city_tier,dependents,rent,loan_payment,insurance,groceries,transport,eating_out,entertainment,utilities,healthcare,education,other_expenses,total_expenses,monthly_savings,savings_goal,financial_health_score,financial_health_category
USER_00001,56,140476,Doctor,Tier 3,0,15320.0,0.0,4250.0,9000.0,7560.0,5930.0,9490.0,3540.0,5990.0,9240.0,9270.0,79590.0,60890.0,Retirement,84.97,Healthy
USER_00002,46,28582,Teacher,Tier 3,3,2690.0,0.0,400.0,7780.0,850.0,2830.0,1590.0,2950.0,2450.0,0.0,1080.0,22620.0,5960.0,House,64.52,Moderate
USER_00003,32,16331,Other,Tier 3,1,3440.0,4280.0,190.0,4690.0,1100.0,1180.0,460.0,1640.0,1810.0,1310.0,340.0,20440.0,-4110.0,Education,18.07,At Risk
USER_00004,60,33066,Teacher,Tier 1,0,11520.0,0.0,400.0,4190.0,2820.0,580.0,680.0,2230.0,1790.0,1880.0,1390.0,27480.0,5590.0,Investment,64.83,Moderate
USER_00005,25,217204,Doctor,Tier 2,2,37010.0,43940.0,5230.0,17740.0,14760.0,2970.0,3340.0,7600.0,2930.0,0.0,10490.0,146010.0,71190.0,No Specific Goal,81.23,Healthy
USER_00006,38,21236,Student,Tier 1,4,8220.0,0.0,830.0,9820.0,2380.0,450.0,1280.0,3360.0,5090.0,0.0,810.0,32240.0,-11000.0,Investment,36.45,At Risk
USER_00007,56,91015,Private Employee,Tier 1,2,20260.0,0.0,3970.0,11150.0,5350.0,910.0,1990.0,2700.0,4220.0,0.0,3770.0,54320.0,36700.0,House,95.9,Healthy
USER_00008,36,133706,Software Engineer,Tier 1,0,44380.0,0.0,4510.0,9340.0,10940.0,9680.0,5440.0,4340.0,4320.0,0.0,6150.0,99100.0,34610.0,Travel,81.11,Healthy
USER_00009,40,97024,Government Employee,Tier 2,2,23420.0,0.0,2830.0,9810.0,7940.0,9330.0,7240.0,5370.0,3860.0,0.0,3250.0,73050.0,23970.0,Education,69.86,Moderate
USER_00010,28,38720,Private Employee,Tier 1,4,6020.0,0.0,1700.0,14220.0,4540.0,540.0,2470.0,3340.0,4600.0,0.0,440.0,37870.0,850.0,Vehicle,34.01,At Risk
USER_00011,28,52400,Private Employee,Tier 3,1,9510.0,0.0,640.0,8190.0,3750.0,1460.0,2520.0,2870.0,2400.0,0.0,3590.0,34930.0,17470.0,Investment,87.8,Healthy
USER_00012,41,104012,Freelancer,Tier 1,2,13260.0,0.0,2390.0,10820.0,10940.0,10030.0,6060.0,2940.0,5600.0,0.0,2490.0,64530.0,39480.0,Investment,88.1,Healthy
USER_00013,53,58946,Government Employee,Tier 1,3,17840.0,0.0,720.0,10150.0,6720.0,1910.0,3400.0,4400.0,3030.0,0.0,1920.0,50090.0,8860.0,Emergency Fund,60.74,Moderate
